player,player_id,position,Season,Draft Class,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,weighted_blocking_grade,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_rg,snap_counts_rt,snap_counts_te,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_run_block
J.J. Beggan,46663,G,2014,2017,BOWL GREEN,11,100,1,122,67.3,85.4,66.7,76.6,0,1,127,100,100,99.6,3,1,0,250,79,171,0,0,0,0,250,133,133,117
Chris Thomas,23375,T,2014,2016,UTEP,8,100,0,330,67.3,90.0,65.2,71.6,0,0,41,100,100,100,2,0,0,158,0,0,30,94,34,0,158,41,41,117
Michael Mooney,46395,T,2014,2017,VIRGINIA,11,100,0,335,67.3,73.0,65.2,69.4,4,8,295,100,100,96.9,3,15,3,588,0,0,535,0,50,3,588,313,313,275
Austin Schlottmann,30097,C,2014,2018,TCU,8,100,0,305,67.3,61.4,68.2,65.5,0,1,40,100,100,98.7,1,1,0,107,90,17,0,0,0,0,107,42,42,65
Tyrell Crosby,38897,T,2014,2018,OREGON,15,100,2,264,67.3,58.6,72.1,65.3,0,17,391,100,100,96.8,10,21,4,813,0,0,167,0,639,7,813,412,412,401
Marcellus Anderson,176298,G,2023,2024,UMASS,12,100,2,216,67.2,80.8,64.0,73.3,2,6,400,100,100,98.5,3,10,2,771,0,0,3,768,0,0,771,427,427,344
Isaiah Helms,104720,C,2023,2024,APP STATE,14,100,0,108,67.2,80.2,60.3,70.9,1,9,529,100,100,98.9,2,11,1,1035,1035,0,0,0,0,0,1035,552,552,483
Dalton Tucker,81717,G,2023,2024,MARSHALL,13,100,1,214,67.2,76.1,62.9,70.7,1,11,494,100,100,98.6,8,13,1,881,0,0,0,627,254,0,881,522,522,359
Harris LaChance,81600,G,2022,2023,BYU,12,100,0,128,67.2,83.7,62.3,73.9,0,9,327,100,100,98.6,3,9,0,642,0,0,0,567,75,0,642,347,347,295
Andrew Meyer,81910,C,2022,2024,UTEP,12,100,0,330,67.2,73.7,68.2,71.1,3,5,407,100,100,99,9,8,0,819,819,0,0,0,0,0,819,432,432,387
Luke Haggard,129442,T,2022,2023,INDIANA,12,100,1,190,67.2,72.8,59.4,67.9,7,10,539,100,100,97.9,2,20,3,902,0,0,893,0,0,9,902,573,573,329
Brian Miller,56358,T,2021,2024,GA SOUTHRN,12,100,1,174,67.2,65.5,66.0,65.8,3,6,267,100,100,97.6,2,11,2,694,0,0,694,0,0,0,694,278,278,416
Karter Shaw,81898,G,2020,2021,UTAH ST,6,100,0,329,67.2,73.8,65.7,70.4,3,3,209,100,100,98.6,2,6,0,371,0,0,0,371,0,0,371,217,217,154
Justin Witt,41782,T,2020,2021,NC STATE,9,100,0,248,67.2,57.1,68.8,62.6,2,10,180,100,100,94.4,0,16,4,355,0,0,0,0,355,0,355,188,188,167
Thomas Sargeant,41824,C,2019,2022,LIBERTY,13,100,0,206,67.2,70.1,64.3,67.7,5,12,487,100,100.2,97.8,2,19,2,867,867,0,0,0,0,0,867,515,514,352
Jacob Gall,55024,G,2019,2023,BUFFALO,10,100,1,126,67.2,56.6,66.8,63.6,2,4,116,100,100,97.4,1,6,0,385,3,99,0,283,0,0,385,122,122,263
Dawson Deaton,60131,T,2018,2022,TEXAS TECH,10,100,1,315,67.2,75.8,63.0,70.1,1,3,181,100,100,97.2,2,7,3,350,0,108,238,0,0,2,350,195,195,155
Ross Pierschbacher,46815,C,2018,2019,ALABAMA,15,100,0,103,67.2,75.9,63.7,70.0,2,4,477,100,100,99,3,8,2,952,952,0,0,0,0,0,952,494,494,458
Mike Miranda,60016,G,2018,2022,PENN STATE,7,100,0,266,67.2,78.3,64.6,70.0,0,0,45,100,100,100,0,0,0,120,0,34,0,86,0,0,120,47,47,73
Troy Kowalski,46352,G,2018,2020,S JOSE ST,12,100,0,285,67.2,73.3,63.3,69.7,4,7,507,100,100,98.3,4,14,3,823,0,726,92,0,4,0,823,529,529,294
Ben Petrula,58533,T,2018,2022,BOSTON COL,12,100,1,121,67.2,62.9,70.5,67.3,4,17,369,100,100,96.3,6,24,3,882,0,0,0,2,880,0,882,377,377,505
Stefano Millin,45555,T,2018,2019,PITTSBURGH,14,99.9,0,268,67.2,74.0,61.7,67.2,1,13,382,99.7,99.8,97.4,4,17,3,906,0,0,895,0,4,8,907,402,403,504
Marcus Norman,46968,T,2018,2020,USF,13,100,1,327,67.2,63.1,67.2,65.0,2,23,497,100,100,96.1,6,32,7,960,0,0,4,0,955,1,960,522,522,438
Kendall Baker,27757,G,2018,2019,GEORGIA,9,100,0,173,67.2,60.9,66.3,64.4,1,3,58,100,100,94.8,0,5,1,177,0,28,56,74,18,1,177,61,61,116
Steven Miller,25508,G,2017,2020,ARIZONA ST,13,100,2,110,67.2,78.6,62.0,70.8,1,11,483,100,100,98.6,2,13,1,946,0,0,7,939,0,0,946,503,503,443
Jordan Rose,46975,T,2017,2018,IDAHO,9,100,4,185,67.2,69.7,68.2,69.0,1,9,280,100,100,97.9,11,11,1,564,0,0,253,0,311,0,564,300,300,264
Jake Hanson,28148,C,2017,2020,OREGON,13,100,0,264,67.2,70.3,66.7,68.1,0,14,358,100,100,98,8,14,0,943,943,0,0,0,0,0,943,379,379,564
Rishard Cook,60159,G,2017,2019,UAB,13,100,0,321,67.2,67.3,67.4,67.4,3,5,227,100,100,98.2,3,8,0,534,0,533,0,0,0,0,534,239,239,295
Joe Manley,20833,G,2016,2017,W KENTUCKY,11,100,0,346,67.2,75.7,68.9,72.1,1,5,142,99.3,99.3,97.9,3,6,0,315,0,0,0,313,0,0,315,149,150,166
Tim McAuliffe,45569,C,2016,2018,BOWL GREEN,12,100,1,122,67.2,81.6,61.4,72.0,3,7,486,100,100,98.8,7,11,1,986,986,0,0,0,0,0,986,517,517,469
Mark Harrell,18927,G,2016,2017,NOTRE DAME,4,100,0,258,67.2,71.3,70.0,70.8,0,3,113,100,100.9,98.7,3,3,0,203,19,0,0,184,0,0,203,118,117,85
Korey Cunningham,38555,T,2016,2018,CINCINNATI,12,99.8,1,138,67.2,77.3,57.6,69.2,1,13,502,99.6,99.6,97.4,3,20,6,872,0,0,0,0,872,0,874,516,518,356
Dylan Utter,23411,C,2016,2017,NEBRASKA,13,100,1,238,67.2,69.7,66.8,68.2,1,14,425,100.2,100.2,98.2,6,15,0,942,942,0,0,0,0,0,942,450,449,492
Brady Aiello,28150,T,2016,2020,OREGON,12,99.6,1,264,67.2,69.3,64.8,67.2,3,14,387,99.7,99.3,96.8,6,21,4,761,0,0,727,0,29,1,764,404,407,357
Robert Behanan,29126,G,2016,2019,MIDDLE TN,7,100,0,224,67.2,63.0,68.0,65.9,2,3,82,100,100,97,1,5,0,202,0,45,148,2,0,3,202,84,84,118
Aaron Mitchell,46066,G,2015,2018,FRESNO ST,12,100,0,169,67.2,74.7,67.1,71.3,4,7,443,100,100,98.5,6,12,1,851,0,850,0,0,0,0,851,466,466,385
Nathan Shienle,21886,C,2015,2016,TULANE,10,100,1,319,67.2,72.1,63.3,68.5,2,8,268,100,100,97.4,1,12,2,471,383,88,0,0,0,0,471,279,279,192
Alan Wright,14023,G,2014,2015,ARK STATE,13,100,0,113,67.2,76.4,66.8,71.9,0,17,505,100,100,98.1,7,18,1,1002,0,0,0,1002,0,0,1002,531,531,471
Donovan Smith,9467,T,2014,2015,PENN STATE,11,100,1,266,67.2,77.1,62.5,71.7,3,8,458,100,100,98.4,5,13,2,760,0,0,748,0,0,12,760,478,478,282
Shahbaz Ahmed,11292,G,2014,2016,TEMPLE,9,100,0,306,67.2,68.2,70.4,69.0,5,8,327,100,100,98,4,13,0,552,0,520,32,0,0,0,552,339,339,213
Reid Webster,13482,G,2014,2015,CLEMSON,13,100,1,140,67.2,68.9,68.4,68.7,7,12,441,100,100,97.4,6,21,2,873,48,85,16,635,89,0,873,453,453,420
Alex Hill,14477,G,2014,2015,ILLINOIS,13,100,0,187,67.2,69.7,66.5,68.4,1,17,324,100,100,96.3,2,21,3,576,146,222,0,208,0,0,576,345,345,231
Brayden Rohme,100535,T,2023,2024,CAL,6,100,0,130,67.1,84.1,63.6,72.1,0,1,41,100,100,98.8,1,1,0,109,0,0,88,0,20,0,109,45,45,64
Armand Membou,125008,T,2023,2024,MISSOURI,13,100,1,229,67.1,75.9,64.4,70.2,0,12,415,100,100,98.1,6,14,2,876,0,0,0,0,857,19,876,439,439,437
Mason Randolph,145991,G,2022,2024,BOISE ST,8,100,0,120,67.1,76.6,64.6,69.9,1,1,221,100,100,99.5,1,2,0,530,0,0,0,528,0,0,530,235,235,295
Dylan Wonnum,81842,T,2022,2023,S CAROLINA,10,100,1,289,67.1,74.6,61.8,69.6,2,15,368,100,100,97.4,3,18,1,639,0,0,49,0,590,0,639,389,389,250
Tyler Guyton,123076,T,2022,2024,OKLAHOMA,8,100,0,261,67.1,75.8,62.8,69.1,0,2,142,100,100,98.6,1,3,1,311,0,0,49,0,261,0,311,150,150,161
Jacob Gideon,72705,C,2022,2024,W MICHIGAN,10,100,1,347,67.1,67.2,66.4,66.8,4,4,348,100,100,98,5,11,3,676,674,0,0,0,0,0,676,373,373,303
Noah Josey,126259,G,2022,2024,VIRGINIA,6,100,0,335,67.1,55.4,71.2,61.7,1,9,160,100,100,96.2,1,11,1,277,0,265,0,11,1,0,277,167,167,110
Cole Birmingham,99427,T,2021,2024,OKLA STATE,14,100,1,262,67.1,66.7,66.6,66.7,7,16,494,100,100,96.7,8,28,5,1047,0,0,975,71,0,1,1047,530,530,517
Derek Schweiger,59750,T,2021,2022,IOWA STATE,13,100,0,193,67.1,66.9,66.1,66.6,4,16,490,100,100,96.9,4,25,5,856,0,0,0,0,849,2,856,517,517,339
Kris Campbell,101270,G,2020,2021,AIR FORCE,5,100,0,101,67.1,63.2,66.3,65.7,0,1,20,100,100,97.5,0,1,0,104,0,103,0,0,0,0,104,21,21,83
Dillan Gibbons,59981,G,2020,2023,NOTRE DAME,6,100,0,258,67.1,51.9,68.8,62.0,1,1,44,100,100,97.7,1,2,0,116,0,63,0,51,0,0,116,47,47,69
Logan Zschernitz,100262,G,2020,2024,N ILLINOIS,6,100,1,254,67.1,55.0,70.6,61.8,0,9,232,100,100,97.2,3,11,2,451,0,0,0,451,0,0,451,253,253,198
Julian Sams,77500,G,2019,2020,KENT STATE,13,100,0,201,67.1,80.4,59.9,71.1,0,11,451,100,100,98.6,0,12,1,892,0,891,0,0,1,0,892,487,487,405
Dareuan Parker,41285,G,2019,2021,MISS STATE,11,100,0,227,67.1,75.5,64.2,69.6,3,6,287,100,100,97.7,1,11,2,620,0,619,0,0,0,0,620,299,299,321
Dillon Reinkensmeyer,39838,C,2018,2021,VIRGINIA,13,100,1,335,67.1,73.3,69.2,71.5,0,8,402,100.2,100.2,98.3,9,11,3,760,697,0,0,63,0,0,760,421,420,339
Alfred Edwards III,60190,T,2018,2023,UTAH ST,12,100,0,329,67.1,78.2,61.5,71.2,5,6,370,100,100,98,6,13,2,672,0,0,666,0,6,0,672,391,391,281
Nolan Laufenberg,81539,G,2018,2021,AIR FORCE,12,100,0,101,67.1,80.4,64.9,68.1,0,0,127,100,100,100,3,0,0,638,0,637,0,0,0,1,638,133,133,505
Alex Officer,29963,G,2017,2018,PITTSBURGH,12,100,0,268,67.1,74.0,64.0,69.3,0,8,414,100,100,98.3,1,11,3,809,0,809,0,0,0,0,809,426,426,383
Tim McAuliffe,45569,C,2017,2018,BOWL GREEN,10,100,1,122,67.1,72.9,63.4,68.8,1,7,374,100,100,98.7,4,9,1,683,683,0,0,0,0,0,683,391,391,292
A'Lique Terry,41450,C,2016,2017,WAKE,6,100,0,339,67.1,89.4,58.0,75.3,0,0,115,100,100,99.1,0,1,1,220,220,0,0,0,0,0,220,121,121,99
Joseph Brunson,45579,C,2016,2017,LA TECH,14,100,0,208,67.1,75.6,61.1,70.6,1,11,597,100,100,98.5,3,15,3,935,935,0,0,0,0,0,935,615,615,320
Nico Falah,45599,C,2016,2018,USC,13,100,1,326,67.1,74.2,65.5,70.4,1,16,473,100,100,98,6,18,1,889,889,0,0,0,0,0,889,497,497,392
Aviante Collins,12049,T,2016,2017,TCU,13,99.8,2,305,67.1,74.7,63.3,70.1,4,24,562,99.6,99.7,96.8,11,32,4,986,0,10,41,1,930,2,988,588,590,398
Patrick Vahe,46039,G,2016,2019,TEXAS,11,100,0,311,67.1,73.7,65.0,69.1,3,2,375,100,100,99.1,4,6,1,840,0,833,0,0,0,0,840,400,400,440
Isaiah Edwards,28442,T,2016,2017,RICE,8,100,0,275,67.1,67.5,64.6,66.1,0,7,234,100,100,96.4,0,12,5,481,0,1,0,260,220,0,481,248,248,233
Evan Sarver,46935,T,2016,2017,S JOSE ST,12,100,0,285,67.1,63.5,65.0,64.2,2,24,394,100,100,94.9,0,33,7,750,0,0,16,0,733,0,750,414,414,336
Matt Pryor,46647,G,2015,2018,TCU,11,100,0,305,67.1,68.5,63.8,66.4,2,11,274,100,100,96.9,1,15,2,532,0,84,0,136,311,0,532,294,294,238
Pat Colbert,17885,T,2015,2016,BAYLOR,12,100,0,118,67.1,64.5,66.2,65.4,4,10,349,100,100,97.7,3,15,1,819,0,0,28,0,790,1,819,372,372,447
Nate Crawford,29090,T,2015,2016,MISSOURI,11,100,0,229,67.1,62.7,67.8,64.8,4,11,287,100,100,97,1,16,1,509,0,225,0,0,284,0,509,301,301,208
Jarell Broxton,11092,G,2014,2016,BAYLOR,13,100,0,118,67.1,90.1,64.2,77.1,1,2,343,100,100,99.6,5,3,0,717,0,22,0,692,3,0,717,358,358,359
Jamelle Naff,19343,G,2014,2016,TCU,13,100,0,305,67.1,80.8,62.8,73.6,1,12,531,100,100,98.6,5,14,1,921,0,920,1,0,0,0,921,555,555,366
Matt Freeman,19363,C,2014,2015,TEXAS ST,6,100,0,314,67.1,86.1,60.0,72.5,0,1,139,100,100,99.6,3,1,0,304,304,0,0,0,0,0,304,146,146,158
Jacob Alsadek,46691,G,2014,2018,ARIZONA,12,100,0,109,67.1,76.0,65.2,71.7,1,9,537,100,100,98.7,3,12,2,953,0,0,0,953,0,0,953,570,570,383
Erik Magnuson,12280,G,2014,2017,MICHIGAN,9,100,0,222,67.1,73.7,66.3,70.1,1,3,138,100,100,98.6,2,4,0,270,0,259,0,0,0,11,270,139,139,131
Taj Alexander,12980,T,2014,2015,RUTGERS,13,100,1,278,67.1,69.0,63.4,66.2,3,14,341,100,100,97.2,2,18,1,712,0,0,0,0,712,0,712,353,353,359
Aaron Evans,46350,T,2014,2018,UCF,6,100,0,323,67.1,61.4,68.6,65.2,1,5,95,100,100,95.8,1,7,1,217,0,0,0,46,171,0,217,101,101,116
Marcus Tate,144140,G,2023,2024,CLEMSON,8,100,0,140,67.0,86.7,59.2,75.6,0,4,293,100,100,99.3,0,4,0,508,0,508,0,0,0,0,508,303,303,205
Gavin Byers,122263,G,2023,2024,BAYLOR,12,100,0,118,67.0,79.8,65.9,74.2,1,15,484,100,100,98.3,8,16,0,839,0,436,0,1,401,0,839,504,504,335
Owen Condon,81994,T,2022,2023,SMU,10,99.9,1,287,67.0,63.5,64.8,64.1,3,15,403,99.8,99.8,96.5,1,23,5,758,0,0,0,0,748,11,759,427,428,331
Zeke Powell,60058,T,2022,2023,MISSOURI,4,100,0,229,67.0,42.7,78.4,59.8,0,7,110,100,100,96.8,3,7,0,217,0,0,0,0,215,2,217,113,113,104
Anthony Bradford,99103,G,2022,2023,LSU,11,100,0,211,67.0,49.3,73.3,58.9,3,5,392,100,100,98,2,12,4,703,0,0,79,624,0,0,703,423,423,280
Dalton Tucker,81717,G,2021,2024,MARSHALL,12,100,0,214,67.0,53.7,70.4,61.6,5,3,228,100,100,97.8,1,9,1,457,0,43,36,338,40,0,457,241,241,216
Jalen Grant,130364,G,2020,2024,BOWL GREEN,5,100,0,122,67.0,64.1,68.1,66.2,1,5,107,100,100,97.2,1,6,0,238,0,224,0,14,0,0,238,113,113,125
Shane McGough,41342,C,2019,2021,FIU,12,100,0,166,67.0,72.3,63.9,67.9,3,4,357,100,100,99,2,7,0,776,639,134,0,0,0,0,776,371,371,405
Julian Good-Jones,36624,T,2019,2020,IOWA STATE,12,100,1,193,67.0,65.0,66.0,65.4,7,20,497,100,100,97.3,3,27,0,857,0,0,856,0,0,0,857,527,527,330
Liam Jimmons,44413,G,2019,2022,USC,6,100,0,326,67.0,51.9,72.4,58.4,1,3,117,100,100,96.6,0,6,2,179,0,0,0,173,6,0,179,122,122,57
Chandler Brewer,13976,G,2018,2019,MIDDLE TN,14,100,1,224,67.0,85.2,61.4,75.9,2,7,541,100,100,98.6,3,12,3,924,0,2,0,918,0,4,924,562,562,362
Michael Maietti,40939,C,2018,2022,RUTGERS,12,100,0,278,67.0,89.7,57.5,74.5,1,4,396,100,100,99.4,3,5,0,799,799,0,0,0,0,0,799,422,422,377
Zach Shackelford,41139,C,2018,2020,TEXAS,11,100,0,311,67.0,81.0,62.8,72.9,1,11,422,100,100,98.6,5,12,0,789,789,0,0,0,0,0,789,440,440,349
Sean Taylor,41387,T,2018,2019,UTAH ST,13,100,2,329,67.0,78.7,63.9,72.5,3,4,410,100,100,98.7,9,9,2,743,0,0,0,0,743,0,743,433,433,310
Dru Samia,45376,G,2018,2019,OKLAHOMA,14,100,0,261,67.0,78.8,62.7,71.2,2,9,440,100,100,98.7,3,11,0,879,0,0,0,879,0,0,879,463,463,416
Dennis Daley,60063,T,2018,2019,S CAROLINA,12,99.9,0,289,67.0,63.5,67.5,65.1,3,16,423,99.8,99.8,96.8,3,23,4,757,0,0,735,0,7,6,758,453,454,304
Brad Morgan,36652,G,2018,2019,GA TECH,9,100,0,176,67.0,52.5,66.6,63.3,0,2,63,100,100,98.4,0,2,0,283,0,9,0,274,0,0,283,66,66,217
Victor Johnson,36507,T,2017,2020,APP STATE,13,99.7,0,108,67.0,83.8,62.8,72.2,1,10,376,99.5,99.3,98.3,10,12,1,883,0,0,866,0,0,20,886,398,401,485
Alex Mollette,40437,G,2017,2022,MARSHALL,12,100,0,214,67.0,75.4,63.6,70.1,1,8,380,100,100,98.8,2,9,0,733,6,262,0,464,0,0,733,404,404,329
Stephen Ericksen,46166,C,2017,2018,AKRON,14,100,0,102,67.0,72.7,64.6,69.3,1,9,504,100,100,98.4,3,13,3,924,549,374,0,0,0,0,924,537,537,387
Christian Boettcher,34823,G,2017,2018,ARIZONA,13,100,0,109,67.0,70.3,64.3,66.7,4,13,335,100,100.3,97.5,2,17,0,909,6,903,0,0,0,0,909,358,357,551
Prince Tega Wanogho,44820,T,2017,2020,AUBURN,14,99.9,0,115,67.0,69.7,62.9,65.7,5,12,266,99.6,99.6,96.1,2,19,2,670,0,0,594,0,74,0,671,272,273,398
Kevin Pendleton,46119,G,2016,2019,MISSOURI,12,100,0,229,67.0,81.1,67.0,74.5,2,7,469,100,100,99,8,9,0,930,0,901,2,13,14,0,930,493,493,437
Tyler Moore,37039,C,2016,2017,MINNESOTA,12,100,1,225,67.0,79.2,64.4,70.7,1,8,331,100,100,98.3,7,10,1,817,817,0,0,0,0,0,817,349,349,468
Collin Buchanan,12217,T,2016,2017,MIAMI OH,12,100,0,221,67.0,74.5,61.0,68.3,1,12,419,100,100,97.7,3,16,3,797,0,0,1,0,795,0,797,433,433,364
Layth Friekh,46357,T,2016,2019,ARIZONA,12,100,1,109,67.0,71.3,61.8,66.6,0,20,402,100,100,97,3,22,2,858,0,0,858,0,0,0,858,435,435,423
Brian Gaia,45552,C,2016,2017,PENN STATE,14,100,0,266,67.0,64.7,66.1,65.4,4,15,460,99.8,99.8,97.9,1,19,0,928,928,0,0,0,0,0,928,482,483,446
Sam Tevi,11945,T,2015,2017,UTAH,13,100,1,328,67.0,68.1,64.7,66.2,1,11,302,100,100,97.7,5,13,1,722,0,0,722,0,0,0,722,323,323,399
Jake Jones,19792,G,2014,2015,WYOMING,10,100,0,351,67.0,61.8,71.0,65.9,2,8,313,100,100,97.4,4,13,3,586,0,0,0,586,0,0,586,324,324,262
Luke Jones,163022,G,2023,2024,UAB,11,100,0,321,66.9,79.7,61.8,72.3,3,9,416,100,100,98.3,2,13,1,740,0,740,0,0,0,0,740,433,433,307
Christophe Atkinson,98064,G,2023,2024,OHIO,12,100,1,259,66.9,76.5,64.1,70.3,0,5,369,100,100,98.8,5,7,2,771,0,0,0,770,1,0,771,388,388,383
Teddy Prochazka,145004,T,2023,2024,NEBRASKA,10,100,0,238,66.9,72.3,67.7,69.8,1,11,164,100,100,95.1,4,14,2,375,0,0,340,0,0,35,375,174,174,201
Trevor Timmons,145577,G,2023,2024,GA STATE,12,100,0,175,66.9,69.4,64.2,66.6,1,8,301,100,100,98.2,1,10,1,675,0,1,0,590,81,0,675,316,316,359
Olaivavega Ioane,164174,G,2023,2024,PENN STATE,13,100,0,266,66.9,65.3,66.3,65.8,2,8,326,100,100,97.5,1,13,3,670,0,520,1,149,0,0,670,341,341,329
Frank Crum,75860,T,2023,2024,WYOMING,13,100,0,351,66.9,57.6,71.1,64.5,3,13,371,100,100,96.8,4,20,4,787,0,0,787,0,0,0,787,386,386,401
Monroe Freeling,173548,T,2023,2024,GEORGIA,9,100,0,173,66.9,50.9,69.6,61.0,2,4,74,100,100,95.9,0,6,0,167,0,0,65,0,102,0,167,77,77,90
Logan Langemeier,108708,C,2022,2023,GA SOUTHRN,12,100,0,174,66.9,69.3,68.7,69.1,6,11,582,100,100,98.5,9,17,0,933,933,0,0,0,0,0,933,611,611,322
Dillon Wade,123265,T,2022,2024,TULSA,12,100,0,320,66.9,66.7,68.1,67.3,9,14,448,100,100,96.3,6,28,5,818,0,0,816,0,0,2,818,473,473,345
Jack Leyrer,146365,T,2022,2023,STANFORD,4,100,0,300,66.9,48.3,73.7,58.0,0,7,151,100,100,97,2,8,1,261,0,0,62,0,197,1,261,161,161,100
Derek Kerstetter,60116,C,2020,2022,TEXAS,9,100,1,311,66.9,77.2,66.6,73.0,0,9,354,100,100,98.4,8,10,1,635,605,0,0,0,30,0,635,384,384,251
Anderson Hardy,81549,T,2020,2023,APP STATE,11,99.8,0,108,66.9,61.4,70.0,66.3,1,4,164,99.4,99.4,97.3,3,7,2,406,0,1,382,0,0,24,407,173,174,233
Taylor Poitier,99437,G,2020,2024,KANSAS ST,4,100,0,199,66.9,66.0,65.9,65.9,1,2,60,100,100,97.5,1,3,0,153,0,0,0,153,0,0,153,61,61,92
Blake Lodes,81710,T,2020,2022,LA MONROE,10,100,0,209,66.9,62.9,65.9,63.9,4,7,237,100,100,96.8,0,13,2,374,0,0,373,0,0,1,374,246,246,128
Richie Petitbon,51663,G,2019,2020,ILLINOIS,13,100,0,187,66.9,81.1,62.8,72.5,3,7,434,100,100,98.6,2,11,1,866,0,0,0,866,0,0,866,459,459,407
Travis Bruffy,42074,T,2019,2020,TEXAS TECH,12,100,1,315,66.9,81.1,55.2,71.9,4,14,584,100,100,98.1,3,20,2,953,0,0,951,0,0,0,953,613,613,340
Trey Carter,54494,C,2018,2022,COAST CAR,12,100,0,141,66.9,80.5,65.3,71.9,2,5,321,100,100,97.4,8,12,5,781,781,0,0,0,0,0,781,339,339,442
Ryan Alexander,47052,T,2018,2020,S ALABAMA,12,100,0,288,66.9,71.9,67.1,69.3,1,10,325,100,100,98,4,12,1,752,0,0,0,0,751,1,752,348,348,404
Amir Luckett,59864,T,2018,2020,MIDDLE TN,14,99.9,0,224,66.9,68.6,65.6,67.4,2,18,550,99.8,99.8,96.4,4,30,10,951,0,0,2,0,941,5,952,572,573,379
Jacob Capra,41743,G,2018,2021,OREGON,9,100,0,264,66.9,67.1,65.6,66.3,0,2,106,100,100,98.1,1,3,1,252,0,1,0,251,0,0,252,112,112,140
Peyton Reeder,56549,G,2018,2021,ARMY,13,100,0,114,66.9,49.4,66.3,64.3,1,4,91,100,100,97.3,4,5,0,793,29,18,0,744,0,2,793,93,93,700
Mesa Ribordy,46716,C,2017,2018,KANSAS,10,100,1,198,66.9,80.4,58.4,72.3,1,9,457,100,100,98.2,2,13,3,754,754,0,0,0,0,0,754,476,476,278
Kody Russey,41726,C,2017,2022,LA TECH,11,100,0,208,66.9,64.5,67.0,65.6,3,10,365,100,100,97.9,2,14,1,712,600,97,0,15,0,0,712,386,386,326
Luke Shively,24080,C,2016,2019,N ILLINOIS,12,100,0,254,66.9,78.6,63.3,70.4,0,12,412,100,100,98.3,4,13,1,916,916,0,0,0,0,0,916,427,427,489
Sunny Odogwu,46930,T,2016,2017,MIAMI FL,5,100,0,220,66.9,70.2,67.9,69.1,2,3,107,100,100,97.7,2,5,0,205,0,0,0,0,205,0,205,110,110,95
Andy Kwon,22669,C,2016,2017,GA SOUTHRN,12,100,1,174,66.9,74.9,65.6,69.0,0,6,298,100,100,99,7,6,0,864,863,0,0,0,0,0,864,312,312,552
Dominic Esposito,39999,C,2016,2018,S ALABAMA,13,100,0,288,66.9,71.9,62.6,67.5,1,14,410,100,100,97.4,4,18,3,810,491,319,0,0,0,0,810,429,429,381
Chris Lewis,46095,G,2016,2017,NEW MEXICO,11,100,0,241,66.9,57.9,66.0,63.8,0,4,149,100,100,98.7,0,4,0,562,0,562,0,0,0,0,562,154,154,408
Michael Chevalier,28973,G,2016,2017,UNLV,12,100,0,325,66.9,58.0,66.7,62.9,2,10,306,100,100,97.1,0,15,3,726,0,726,0,0,0,0,726,319,319,407
Brian Carter,46725,G,2015,2018,TEMPLE,13,100,0,306,66.9,70.8,66.9,69.0,4,11,351,100,100,97.6,4,16,1,695,0,0,0,695,0,0,695,380,380,315
Matt Pierson,11483,G,2015,2016,OREGON,12,100,1,264,66.9,58.1,69.4,64.0,1,18,302,100,100,96.5,4,20,1,656,0,648,0,0,8,0,656,312,312,344
Matt Pierson,11483,T,2014,2016,OREGON,12,100,0,264,66.9,71.5,67.3,69.4,0,7,267,100,100,97.9,4,9,2,569,0,107,105,0,354,3,569,281,281,288
Troy Baker,14137,T,2014,2015,BAYLOR,7,100,0,118,66.9,72.6,62.1,67.7,0,8,257,100,100,98.4,1,8,0,510,0,0,2,0,506,2,510,273,273,237
Connor Lew,172456,C,2023,2024,AUBURN,10,100,0,115,66.8,72.8,64.9,69.0,0,6,211,100,100,98.6,2,6,0,435,435,0,0,0,0,0,435,228,228,207
Corey Stewart,130349,T,2023,2024,BALL ST,12,99.9,1,117,66.8,80.7,57.6,68.6,0,11,352,99.7,99.7,97.9,3,13,2,763,0,0,759,0,0,5,764,365,366,398
Christian Hilborn,146501,G,2023,2024,WASH STATE,12,100,1,341,66.8,70.3,61.8,68.0,2,15,573,100,100,98,2,20,3,816,0,558,257,0,0,0,816,596,596,220
Jeremy Cooper,77483,G,2022,2023,CINCINNATI,11,100,0,138,66.8,76.3,66.5,72.2,2,6,334,100,100,98.5,5,9,1,607,0,607,0,0,0,0,607,350,350,257
Jovaughn Gwyn,81839,G,2022,2023,S CAROLINA,12,100,0,289,66.8,75.7,63.9,70.9,7,10,433,100,100,97.6,3,19,2,769,0,0,0,769,0,0,769,457,457,312
J.C. Davis,157231,T,2022,2024,NEW MEXICO,12,99.9,3,241,66.8,66.2,68.2,67.2,2,11,342,100,100,97.5,5,15,2,704,0,0,704,0,0,0,705,357,357,347
Kenneth Horsey,81696,T,2022,2024,KENTUCKY,11,100,0,202,66.8,68.5,63.4,65.9,3,13,314,100,100,96.8,1,18,2,673,0,24,647,0,0,1,673,331,331,342
Rashad Green,123217,T,2022,2024,TULANE,12,100,0,319,66.8,66.2,65.4,65.8,5,9,371,100,100,96.8,2,19,5,754,0,0,3,0,751,0,754,384,384,370
